url,title,date,publisher,content
http://xinghuo.njit.edu.cn/info/1011/13482.htm,南京大学阎长虹教授受聘为我校客座教授并作学术报告,2021-05-27,人事处 人力资源管理与交流中心 建筑工程学院,5月26日下午，我校在至勤楼·行政中心北楼一楼学术报告厅举行聘任仪式，聘任南京大学阎长虹教授为我校客座教授。校党委副书记濮励杰为阎长虹教授颁发聘书并讲话。
http://xinghuo.njit.edu.cn/info/1011/13464.htm,学校党委巡察工作领导小组召开会议 听取巡察整改“回头看”和第五轮巡察情况汇报,2021-05-24,党委巡察办,5月21日上午，校党委书记、巡察工作领导小组组长史国君在至勤楼·行政中心南301会议室主持召开专题会议，听取学校巡察整改“回头看”和第五轮巡察工作情况汇报，研究推进相关工作。党委副书记、院长史金飞，党委副书记濮励杰，党委常委、副院长杨征宇，党委常委、纪委书记赵立法出席会议。
http://xinghuo.njit.edu.cn/info/1011/13460.htm,凝心聚力学党史 砥砺前行强党性——机关党委第七党支部赴红色李巷开展党史学习教育,2021-05-24,机关党委第七党支部,5月21日下午，机关党委第七党支部全体党员来到溧水区白马镇红色李巷，开展以“凝心聚力学党史，砥砺前行强党性”为主题的党史学习教育专题党日活动。校党委副书记、院长史金飞作为支部成员参加了本次学习活动。
http://xinghuo.njit.edu.cn/info/1011/13457.htm,同济大学沈骑教授受聘为我校客座教授并作学术报告,2021-05-24,外国语学院,日前，同济大学沈骑教授受聘为我校客座教授，校党委常委、副院长郑锋出席聘任仪式并为沈骑教授颁发聘书。
http://xinghuo.njit.edu.cn/info/1011/13452.htm,中国工程院李德群院士到访我校并作报告,2021-05-23,学工处 科技与产业处,5月21日，中国工程院院士、江苏机械制造产业院士协同创新中心领衔院士、华中科技大学李德群教授、博导到访我校并作专家报告。我校党委副书记、院长史金飞，党委常委、副院长张仰飞热情接待了来宾。江苏省机械工程学会常务副理事长兼秘书长江建春、办公室主任刘志超、江苏机械制造产业院士协同创新中心部分专家参加了本次活动。
http://xinghuo.njit.edu.cn/info/1011/13450.htm,我校杭州校友联谊会成立,2021-05-23,校友会办公室,初夏的杭州绿意盎然，姹紫嫣红。5月22日下午，来自各行各业的近50名杭州校友代表欢聚一堂，共同见证我校杭州校友联谊会的成立。我校党委常委、副院长张仰飞应邀出席成立仪式并致辞。杭州校友联谊会成立大会由电力072班校友张蕾主持。
http://xinghuo.njit.edu.cn/info/1011/13464.htm,学校党委巡察工作领导小组召开会议 听取巡察整改“回头看”和第五轮巡察情况汇报,2021-05-24,党委巡察办,5月21日上午，校党委书记、巡察工作领导小组组长史国君在至勤楼·行政中心南301会议室主持召开专题会议，听取学校巡察整改“回头看”和第五轮巡察工作情况汇报，研究推进相关工作。党委副书记、院长史金飞，党委副书记濮励杰，党委常委、副院长杨征宇，党委常委、纪委书记赵立法出席会议。
http://xinghuo.njit.edu.cn/info/1011/13460.htm,凝心聚力学党史 砥砺前行强党性——机关党委第七党支部赴红色李巷开展党史学习教育,2021-05-24,机关党委第七党支部,5月21日下午，机关党委第七党支部全体党员来到溧水区白马镇红色李巷，开展以“凝心聚力学党史，砥砺前行强党性”为主题的党史学习教育专题党日活动。校党委副书记、院长史金飞作为支部成员参加了本次学习活动。
http://xinghuo.njit.edu.cn/info/1011/13457.htm,同济大学沈骑教授受聘为我校客座教授并作学术报告,2021-05-24,外国语学院,日前，同济大学沈骑教授受聘为我校客座教授，校党委常委、副院长郑锋出席聘任仪式并为沈骑教授颁发聘书。
http://xinghuo.njit.edu.cn/info/1011/13452.htm,中国工程院李德群院士到访我校并作报告,2021-05-23,学工处 科技与产业处,5月21日，中国工程院院士、江苏机械制造产业院士协同创新中心领衔院士、华中科技大学李德群教授、博导到访我校并作专家报告。我校党委副书记、院长史金飞，党委常委、副院长张仰飞热情接待了来宾。江苏省机械工程学会常务副理事长兼秘书长江建春、办公室主任刘志超、江苏机械制造产业院士协同创新中心部分专家参加了本次活动。
http://xinghuo.njit.edu.cn/info/1011/13450.htm,我校杭州校友联谊会成立,2021-05-23,校友会办公室,初夏的杭州绿意盎然，姹紫嫣红。5月22日下午，来自各行各业的近50名杭州校友代表欢聚一堂，共同见证我校杭州校友联谊会的成立。我校党委常委、副院长张仰飞应邀出席成立仪式并致辞。杭州校友联谊会成立大会由电力072班校友张蕾主持。
http://xinghuo.njit.edu.cn/info/1011/13449.htm,我校苏州校友联谊会与南京大学苏州校友会在苏开展交流活动,2021-05-22,校友会办公室,5月21日下午，“同城联谊、同创未来”——南京大学苏州校友会和我校苏州校友联谊会在苏州开展交流活动。我校党委副书记濮励杰出席活动。我校无锡校友联谊会会长谈伟光、镇江校友联谊会会长王永翔等受邀参加活动。
http://xinghuo.njit.edu.cn/info/1011/13448.htm,《省委教育工委党史学习教育简报》聚焦我校党史学习教育特色做法,2021-05-21,党委宣传部,日前，《省委教育工委党史学习教育简报》（第四期）上刊发了《南京工程学院：推动党史学习教育、课程思政同频共振》一文，从“聚焦课程主阵地，打造党史学习教育‘理论课堂’；用好红色资源，打造党史学习教育‘实践课堂’；探索新模式，打造党史学习教育‘情景课堂’；创新‘三进三知’，打造党史学习教育‘一线课堂’”四个角度入手，介绍了我校党史学习教育的特色做法。现将该文全文刊发如下。
http://xinghuo.njit.edu.cn/info/1011/13444.htm,感受传统文化之美  凝聚工匠精神之力——“文化同心校园行”民进公益讲堂系列活动走进我校,2021-05-21,党委组织部、统战部 校团委,5月20日下午，我校在图书馆学术报告厅举办“文化同心校园行”民进公益讲堂系列活动专家讲座。此次活动由民进江苏省委和校党委统战部主办，校团委和校民进支部承办，特邀南京博物院万俐研究员讲述“文物修复背后的故事”。校党委书记史国君，江苏省政协副秘书长、民进江苏省委专职副主委朱毅民出席活动。
http://xinghuo.njit.edu.cn/info/1011/13441.htm,【校际交流】黑龙江工程学院张丰发副校长一行到我校调研,2021-05-21,党委办公室 校长办公室,5月20日下午，黑龙江工程学院张丰发副校长一行5人到我校调研，考察了创新创业学院、大学生创业园“天印梦工场”，进行了专题交流。党委常委、副院长郑锋热情接待了来宾。
http://xinghuo.njit.edu.cn/info/1011/13414.htm,接力长征精神 南工程人跑起来！,2021-05-20,党委宣传部,5月19日下午，2021江苏省大学生马拉松联赛暨南京工程学院第五届校园马拉松，在我校体育中心广场活力开跑！为将党史学习教育有机融入这场考验体能与毅力的赛事中，学校在传统赛道的基础上，模拟红军长征行进线路，专门开辟2.5公里的“长征”赛道，设计“重温长征故事”徒步环节。2021名在校师生、校友斗志昂扬，在奔跑中传承长征精神，让天印湖畔再次掀起学党史、跟党走的热潮。
http://xinghuo.njit.edu.cn/info/1011/13413.htm,我校召开师德建设专题工作会,2021-05-20,人事处,5月19日上午，我校召开师德建设专题工作会议，深入学习贯彻落实教育部教师思想政治和师德师风经验交流暨师德专题教育部署会会议精神，研究讨论学校下一步师德建设工作安排。师德建设委员会主任、党委书记史国君出席会议并讲话。大会由师德建设委员会主任、党委副书记、院长史金飞主持。党委常委、副院长郑锋出席会议。
http://xinghuo.njit.edu.cn/info/1011/13411.htm,学校召开关工委工作会议,2021-05-19,离退休工作处,5月18日下午，我校在至勤楼·行政中心北楼303会议室召开关工委工作会议。校关工委主任、校党委副书记、副院长曹雪虹，校关工委常务副主任陈德静，校关心下一代工作委员会成员和二级关工委负责人参加会议。
http://xinghuo.njit.edu.cn/info/1011/13412.htm,【校际交流】浙江万里学院钱国英副校长一行来我校调研,2021-05-19,研究生处,5月18日下午，浙江万里学院钱国英副校长一行来我校调研专业学位研究生教育、“十四五”学科和学位点建设规划等方面的工作。我校党委副书记、副院长曹雪虹在至勤楼·行政南楼201会议室热情接待了来宾并座谈。
http://xinghuo.njit.edu.cn/info/1011/13409.htm,奋斗的青春最美丽——我校举办2021年五四表彰大会暨党史知识竞赛,2021-05-18,校团委,在全校深入开展党史学习教育，热烈庆祝中国共产党成立100周年之际，5月18日下午，我校在科教创新园天印会议中心报告厅举行“奋斗的青春最美丽”2021年五四表彰大会暨党史知识竞赛。校党委书记史国君，党委常委、副院长张仰飞，党委常委、组织部部长朱松青，党委常委、宣传部部长陈建华，以及相关职能部门负责人、各学院分管学生工作领导、分团委书记、青年代表共500多人参与了此次活动。
http://xinghuo.njit.edu.cn/info/1011/13408.htm,我校召开实验室安全专题工作会议,2021-05-18,教务处,5月18日上午，我校在行政中心北303会议室召开实验室安全工作专题会议，会议由校党委常委、副院长郑锋主持，各教育教学单位及产业技术研究院党政负责人、实验室安全分管负责人及教务处、质量办相关人员与会。
http://xinghuo.njit.edu.cn/info/1011/13399.htm,我校党委理论学习中心组举行第三次党史集中学习研讨会,2021-05-17,党委宣传部,5月17日下午，我校党委理论学习中心组在至勤楼·行政中心303会议室举行第三次党史学习会，学习会以集体学习习近平《论中国共产党历史》为主要内容。会议由党委书记史国君主持。党委常委、两委委员、二级基层党组织负责人参加学习。
http://xinghuo.njit.edu.cn/info/1011/13397.htm,我校党委理论学习中心组举行集体学习会,2021-05-17,党委宣传部,5月17日下午，我校党委理论学习中心组在至勤楼·行政中心北303会议室举行集体学习会，传达学习习近平总书记近期重要讲话和指示精神，党中央、省委以及教育部相关文件精神。党委书记史国君主持学习会并作总结讲话。党委常委、两委委员、二级基层党组织负责人参加学习。
http://xinghuo.njit.edu.cn/info/1011/13400.htm,我校召开2021年度校友发展论坛暨第三届秘书长工作会议,2021-05-17,校友会办公室,"5月14-16日,由南京工程学院校友总会主办、徐州校友联谊会承办的“南京工程学院2021年度校友发展论坛暨第三届秘书长工作会议”在徐州召开。党委副书记、校长史金飞，党委常委、纪委书记赵立法出席会议。徐州校友联谊会等已成立的15家地区校友联谊会和校友企业家联谊会秘书长们参加会议，杭州、济宁等即将成立的两地校友联谊会候选秘书长作为特邀代表列席会议。"
http://xinghuo.njit.edu.cn/info/1011/13391.htm,晋级国赛！我校在第十七届“挑战杯”省赛中喜获特等奖,2021-05-16,校团委,5月13日-15日，第十七届江苏省大学生课外学术科技作品竞赛暨“挑战杯”全国竞赛江苏省选拔赛决赛在南京中医药大学落下帷幕，江苏省委副书记张敬华、副省长陈星莺出席有关活动。经过网络评审、现场答辩等环节，我校作品获特等奖1项，二等奖1项，三等奖5项。这是我校继上一届“大挑”省赛文科作品获特等奖之后，工科类作品取得的又一新突破。
http://xinghuo.njit.edu.cn/info/1011/13390.htm,加入“百校对接”行列！我校与南京经开区携手推进校地合作,2021-05-14,科技与产业处,5月14日下午，南京经济技术开发区——南京工程学院“百校对接”大会在南京经开区管委会举行。我校党委书记史国君、南京经开区党工委书记黎辉、管委会主任沈吉鸿，我校党委常委、副院长张仰飞，党委常委、组织部、统战部部长朱松青等出席活动。大会由南京经开区党工委副书记陈乙华主持。
http://xinghuo.njit.edu.cn/info/1011/13385.htm,江苏省高校安全检查组来我校检查安全工作,2021-05-14,保卫处,根据江苏省教育厅关于集中开展“创平安迎七一”全省高校安全大检查工作的统一部署，5月13日下午，以中国矿业大学副校长赵建岭为组长的省高校安全检查第六工作组一行来我校检查安全工作，我校党委副书记、院长史金飞出席在至勤楼·行政中心303会议室举行的专家见面会并致辞。
http://xinghuo.njit.edu.cn/info/1011/13376.htm,百年党史涵养伟大精神 学以致用赓续时代华章——史国君书记作党史学习教育专题党课,2021-05-13,党委办公室 校长办公室,“在一百年的非凡奋斗历程中，一代又一代中国共产党人顽强拼搏、不懈奋斗，形成了一系列伟大精神，构筑起中国共产党人的精神谱系，为我们立党兴党强党提供了丰厚滋养。”5月13日下午，天印会议中心报告厅里，党委书记史国君以“百年党史涵养伟大精神，学以致用赓续时代华章”为题作专题党课，引导广大师生党员传承和发扬共产党人的精神品格，从百年党史中汲取信仰和意志、目标和方向、勇气和力量。
http://xinghuo.njit.edu.cn/info/1011/13373.htm,感谢有你 温暖同行——我校第十六届“5·25我爱我”心理健康教育活动月开幕,2021-05-13,学生工作处,“我能抱你一下吗？请给我点力量吧！”“今天有不开心的事情，抱抱我吧！”5月12日中午，北区综合楼广场上“爱的抱抱”活动分享拉开了我校第十六届“5·25我爱我”心理健康教育活动月的帷幕。活动由学生工作处主办，电力工程学院和自动化学院联合承办。校党委常委、副院长张仰飞出席活动开幕式，学生工作处、团委以及各学院（中心）学生工作负责人、辅导员，各班级心理委员500多人参加活动。江苏省大学生心理健康教育研究中心江宁基地主任郑爱明教授应邀出席开幕式。
http://xinghuo.njit.edu.cn/info/1011/13375.htm,【校际交流】无锡职业技术学院院长龚方红一行来我校调研,2021-05-12,党委办公室 校长办公室,5月12日上午，无锡职业技术学院院长龚方红、党委副书记周桂瑾一行到访我校，就我校应用型本科人才培养、人才培养模式改革、专业建设、创新创业教育、大学生创业园管理运行及互联网+大赛等相关方面的经验做法进行专题调研。校党委副书记、院长史金飞，党委常委、副院长张仰飞接待以及相关部门、学院负责人出席座谈会。
http://xinghuo.njit.edu.cn/info/1011/13362.htm,【校际交流】沈阳工程学院院长佟刚一行来我校调研,2021-05-12,党委办公室 校长办公室,5月11日上午，沈阳工程学院院长佟刚一行到访我校，就学科建设、人才培养、科研成果等相关问题进行调研。校党委副书记、院长史金飞，党委常委、副院长张仰飞以及相关部门学院负责人出席座谈会。
http://xinghuo.njit.edu.cn/info/1011/13361.htm,【校际交流】天水师范学院汪咏国副校长一行来我校专题调研新校区建设工作,2021-05-12,基建处,5月11日下午，天水师范学院党委常委、副校长汪咏国带领该校相关学院、部门负责人来我校就新校区建设及相关国有资产处置工作进行专题调研。我校党委常委、副院长杨征宇在至勤楼·行政中心南楼201会议室热情接待了来宾。
